sample_index,problem_index,problem_version,question,answer,question_type,metadata,query_wo,query_cot,question_for_eval,path,prompt,type
334,67,Vision Dominant,"As shown in the figure, the straight line AB parallel CD, AE bisects angle CAB, then the degree of angle AEC is ()
Choices:
A:40°
B:70°
C:80°
D:140°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the straight line AB parallel CD, AE bisects angle CAB, then the degree of angle AEC is ()
Choices:
A:40°
B:70°
C:80°
D:140°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AB parallel CD, AE bisects angle CAB, then the degree of angle AEC is ()
Choices:
A:40°
B:70°
C:80°
D:140°","As shown in the figure, the straight line AB parallel CD, AE bisects angle CAB, then the degree of angle AEC is ()
Choices:
A:40°
B:70°
C:80°
D:140°",images/mathverse_images/image_334.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AB parallel CD, AE bisects angle CAB, then the degree of angle AEC is ()
Choices:
A:40°
B:70°
C:80°
D:140°",mathverse_cot
339,68,Vision Dominant,"Help them calculate the sum of the area of the three figures circled in the figure, it is ()
Choices:
A:12cm
B:24cm
C:36cm
D:48cm",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Applied', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: Help them calculate the sum of the area of the three figures circled in the figure, it is ()
Choices:
A:12cm
B:24cm
C:36cm
D:48cm","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Help them calculate the sum of the area of the three figures circled in the figure, it is ()
Choices:
A:12cm
B:24cm
C:36cm
D:48cm","Help them calculate the sum of the area of the three figures circled in the figure, it is ()
Choices:
A:12cm
B:24cm
C:36cm
D:48cm",images/mathverse_images/image_339.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: Help them calculate the sum of the area of the three figures circled in the figure, it is ()
Choices:
A:12cm
B:24cm
C:36cm
D:48cm",mathverse_cot
344,69,Vision Dominant,"As shown in the figure, the straight line a parallel b, then the degree of angle 1 is ()
Choices:
A:75°
B:105°
C:140°
D:145°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the straight line a parallel b, then the degree of angle 1 is ()
Choices:
A:75°
B:105°
C:140°
D:145°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line a parallel b, then the degree of angle 1 is ()
Choices:
A:75°
B:105°
C:140°
D:145°","As shown in the figure, the straight line a parallel b, then the degree of angle 1 is ()
Choices:
A:75°
B:105°
C:140°
D:145°",images/mathverse_images/image_344.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line a parallel b, then the degree of angle 1 is ()
Choices:
A:75°
B:105°
C:140°
D:145°",mathverse_cot
349,70,Vision Dominant,"As shown in the figure, BD is the angular bisector of triangle ABC, then the degree of angle CDE is ()
Choices:
A:35°
B:40°
C:45°
D:50°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, BD is the angular bisector of triangle ABC, then the degree of angle CDE is ()
Choices:
A:35°
B:40°
C:45°
D:50°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, BD is the angular bisector of triangle ABC, then the degree of angle CDE is ()
Choices:
A:35°
B:40°
C:45°
D:50°","As shown in the figure, BD is the angular bisector of triangle ABC, then the degree of angle CDE is ()
Choices:
A:35°
B:40°
C:45°
D:50°",images/mathverse_images/image_349.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, BD is the angular bisector of triangle ABC, then the degree of angle CDE is ()
Choices:
A:35°
B:40°
C:45°
D:50°",mathverse_cot
354,71,Vision Dominant,"As shown in the figure, the straight line AD parallel BC, then the degree of angle 2 is ()
Choices:
A:42°
B:50°
C:60°
D:68°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the straight line AD parallel BC, then the degree of angle 2 is ()
Choices:
A:42°
B:50°
C:60°
D:68°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AD parallel BC, then the degree of angle 2 is ()
Choices:
A:42°
B:50°
C:60°
D:68°","As shown in the figure, the straight line AD parallel BC, then the degree of angle 2 is ()
Choices:
A:42°
B:50°
C:60°
D:68°",images/mathverse_images/image_354.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the straight line AD parallel BC, then the degree of angle 2 is ()
Choices:
A:42°
B:50°
C:60°
D:68°",mathverse_cot
359,72,Vision Dominant,"As shown in the figure, then the perimeter of triangle DCE is ()
Choices:
A:10cm
B:8cm
C:6cm
D:4cm",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the perimeter of triangle DCE is ()
Choices:
A:10cm
B:8cm
C:6cm
D:4cm","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the perimeter of triangle DCE is ()
Choices:
A:10cm
B:8cm
C:6cm
D:4cm","As shown in the figure, then the perimeter of triangle DCE is ()
Choices:
A:10cm
B:8cm
C:6cm
D:4cm",images/mathverse_images/image_359.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the perimeter of triangle DCE is ()
Choices:
A:10cm
B:8cm
C:6cm
D:4cm",mathverse_cot
364,73,Vision Dominant,"As shown in the figure, triangle ABC is the inscribed triangle of circle O. then the degree of angle AOC is equal to ()
Choices:
A:140°
B:130°
C:120°
D:110°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O. then the degree of angle AOC is equal to ()
Choices:
A:140°
B:130°
C:120°
D:110°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O. then the degree of angle AOC is equal to ()
Choices:
A:140°
B:130°
C:120°
D:110°","As shown in the figure, triangle ABC is the inscribed triangle of circle O. then the degree of angle AOC is equal to ()
Choices:
A:140°
B:130°
C:120°
D:110°",images/mathverse_images/image_364.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, triangle ABC is the inscribed triangle of circle O. then the degree of angle AOC is equal to ()
Choices:
A:140°
B:130°
C:120°
D:110°",mathverse_cot
369,74,Vision Dominant,"As shown in the figure, AB parallel CD, then the degree of angle 2 is ()
Choices:
A:55°
B:65°
C:75°
D:85°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB parallel CD, then the degree of angle 2 is ()
Choices:
A:55°
B:65°
C:75°
D:85°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, then the degree of angle 2 is ()
Choices:
A:55°
B:65°
C:75°
D:85°","As shown in the figure, AB parallel CD, then the degree of angle 2 is ()
Choices:
A:55°
B:65°
C:75°
D:85°",images/mathverse_images/image_369.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, then the degree of angle 2 is ()
Choices:
A:55°
B:65°
C:75°
D:85°",mathverse_cot
374,75,Vision Dominant,"As shown in the figure, a // b, then the degree of angle 2 is ()
Choices:
A:46°
B:48°
C:56°
D:72°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, a // b, then the degree of angle 2 is ()
Choices:
A:46°
B:48°
C:56°
D:72°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a // b, then the degree of angle 2 is ()
Choices:
A:46°
B:48°
C:56°
D:72°","As shown in the figure, a // b, then the degree of angle 2 is ()
Choices:
A:46°
B:48°
C:56°
D:72°",images/mathverse_images/image_374.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a // b, then the degree of angle 2 is ()
Choices:
A:46°
B:48°
C:56°
D:72°",mathverse_cot
379,76,Vision Dominant,"As shown in the figure, a parallel b, then angle 2 = ()
Choices:
A:54°
B:56°
C:44°
D:46°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, a parallel b, then angle 2 = ()
Choices:
A:54°
B:56°
C:44°
D:46°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a parallel b, then angle 2 = ()
Choices:
A:54°
B:56°
C:44°
D:46°","As shown in the figure, a parallel b, then angle 2 = ()
Choices:
A:54°
B:56°
C:44°
D:46°",images/mathverse_images/image_379.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a parallel b, then angle 2 = ()
Choices:
A:54°
B:56°
C:44°
D:46°",mathverse_cot
384,77,Vision Dominant,"As shown in the figure, if angle 1 = angle 3, then the degree of angle 4 is ()
Choices:
A:60°
B:100°
C:120°
D:130°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, if angle 1 = angle 3, then the degree of angle 4 is ()
Choices:
A:60°
B:100°
C:120°
D:130°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, if angle 1 = angle 3, then the degree of angle 4 is ()
Choices:
A:60°
B:100°
C:120°
D:130°","As shown in the figure, if angle 1 = angle 3, then the degree of angle 4 is ()
Choices:
A:60°
B:100°
C:120°
D:130°",images/mathverse_images/image_384.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, if angle 1 = angle 3, then the degree of angle 4 is ()
Choices:
A:60°
B:100°
C:120°
D:130°",mathverse_cot
389,78,Vision Dominant,"As shown in the figure, AB parallel CD, AE bisects angle CAB and CD at point E, then the degree of angle AED is ()
Choices:
A:110°
B:125°
C:135°
D:140°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AB parallel CD, AE bisects angle CAB and CD at point E, then the degree of angle AED is ()
Choices:
A:110°
B:125°
C:135°
D:140°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, AE bisects angle CAB and CD at point E, then the degree of angle AED is ()
Choices:
A:110°
B:125°
C:135°
D:140°","As shown in the figure, AB parallel CD, AE bisects angle CAB and CD at point E, then the degree of angle AED is ()
Choices:
A:110°
B:125°
C:135°
D:140°",images/mathverse_images/image_389.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AB parallel CD, AE bisects angle CAB and CD at point E, then the degree of angle AED is ()
Choices:
A:110°
B:125°
C:135°
D:140°",mathverse_cot
394,79,Vision Dominant,"As shown in the figure, the perimeter of triangle DCE is ()
Choices:
A:8cm
B:24cm
C:10cm
D:16cm",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the perimeter of triangle DCE is ()
Choices:
A:8cm
B:24cm
C:10cm
D:16cm","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the perimeter of triangle DCE is ()
Choices:
A:8cm
B:24cm
C:10cm
D:16cm","As shown in the figure, the perimeter of triangle DCE is ()
Choices:
A:8cm
B:24cm
C:10cm
D:16cm",images/mathverse_images/image_394.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the perimeter of triangle DCE is ()
Choices:
A:8cm
B:24cm
C:10cm
D:16cm",mathverse_cot
399,80,Vision Dominant,"As shown in the figure, a cylinder with a bottom circumference of 24.0, the shortest route that an ant passes along the surface from point A to point B is ()
Choices:
A:12m
B:15m
C:13m
D:14m",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Applied', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, a cylinder with a bottom circumference of 24.0, the shortest route that an ant passes along the surface from point A to point B is ()
Choices:
A:12m
B:15m
C:13m
D:14m","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a cylinder with a bottom circumference of 24.0, the shortest route that an ant passes along the surface from point A to point B is ()
Choices:
A:12m
B:15m
C:13m
D:14m","As shown in the figure, a cylinder with a bottom circumference of 24.0, the shortest route that an ant passes along the surface from point A to point B is ()
Choices:
A:12m
B:15m
C:13m
D:14m",images/mathverse_images/image_399.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, a cylinder with a bottom circumference of 24.0, the shortest route that an ant passes along the surface from point A to point B is ()
Choices:
A:12m
B:15m
C:13m
D:14m",mathverse_cot
404,81,Vision Dominant,"As shown in the figure, AE bisects angle DAC, so the degree of angle DAE is ()
Choices:
A:45°
B:20°
C:30°
D:25°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, AE bisects angle DAC, so the degree of angle DAE is ()
Choices:
A:45°
B:20°
C:30°
D:25°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AE bisects angle DAC, so the degree of angle DAE is ()
Choices:
A:45°
B:20°
C:30°
D:25°","As shown in the figure, AE bisects angle DAC, so the degree of angle DAE is ()
Choices:
A:45°
B:20°
C:30°
D:25°",images/mathverse_images/image_404.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, AE bisects angle DAC, so the degree of angle DAE is ()
Choices:
A:45°
B:20°
C:30°
D:25°",mathverse_cot
409,82,Vision Dominant,"As shown in the figure, the line l parallel  m parallel  n, the vertices B and C of the triangle ABC are on the line n and line m, the angle between BC and the line n is 25.0, then the degree of angle a is ()
Choices:
A:25°
B:30°
C:35°
D:45°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the line l parallel  m parallel  n, the vertices B and C of the triangle ABC are on the line n and line m, the angle between BC and the line n is 25.0, then the degree of angle a is ()
Choices:
A:25°
B:30°
C:35°
D:45°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the line l parallel  m parallel  n, the vertices B and C of the triangle ABC are on the line n and line m, the angle between BC and the line n is 25.0, then the degree of angle a is ()
Choices:
A:25°
B:30°
C:35°
D:45°","As shown in the figure, the line l parallel  m parallel  n, the vertices B and C of the triangle ABC are on the line n and line m, the angle between BC and the line n is 25.0, then the degree of angle a is ()
Choices:
A:25°
B:30°
C:35°
D:45°",images/mathverse_images/image_409.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the line l parallel  m parallel  n, the vertices B and C of the triangle ABC are on the line n and line m, the angle between BC and the line n is 25.0, then the degree of angle a is ()
Choices:
A:25°
B:30°
C:35°
D:45°",mathverse_cot
414,83,Vision Dominant,"As shown in the figure, then the angle of circumference angle ACB is equal to ().
Choices:
A:130°
B:120°
C:110°
D:100°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the angle of circumference angle ACB is equal to ().
Choices:
A:130°
B:120°
C:110°
D:100°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the angle of circumference angle ACB is equal to ().
Choices:
A:130°
B:120°
C:110°
D:100°","As shown in the figure, then the angle of circumference angle ACB is equal to ().
Choices:
A:130°
B:120°
C:110°
D:100°",images/mathverse_images/image_414.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the angle of circumference angle ACB is equal to ().
Choices:
A:130°
B:120°
C:110°
D:100°",mathverse_cot
419,84,Vision Dominant,"As shown in the figure, then the length of BC is ()
Choices:
A:2
B:2√{3}
C:√{3}
D:2√{2}",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the length of BC is ()
Choices:
A:2
B:2√{3}
C:√{3}
D:2√{2}","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the length of BC is ()
Choices:
A:2
B:2√{3}
C:√{3}
D:2√{2}","As shown in the figure, then the length of BC is ()
Choices:
A:2
B:2√{3}
C:√{3}
D:2√{2}",images/mathverse_images/image_419.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the length of BC is ()
Choices:
A:2
B:2√{3}
C:√{3}
D:2√{2}",mathverse_cot
424,85,Vision Dominant,"As shown in the figure, the circle O is the circumscribed circle of triangle ABC and the bisector of angle BAC and angle ABC intersects at point I, then the length of DI is ()
Choices:
A:4√{3}+2
B:4√{3}+3
C:8√{3}+1
D:8√{3}",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, the circle O is the circumscribed circle of triangle ABC and the bisector of angle BAC and angle ABC intersects at point I, then the length of DI is ()
Choices:
A:4√{3}+2
B:4√{3}+3
C:8√{3}+1
D:8√{3}","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the circle O is the circumscribed circle of triangle ABC and the bisector of angle BAC and angle ABC intersects at point I, then the length of DI is ()
Choices:
A:4√{3}+2
B:4√{3}+3
C:8√{3}+1
D:8√{3}","As shown in the figure, the circle O is the circumscribed circle of triangle ABC and the bisector of angle BAC and angle ABC intersects at point I, then the length of DI is ()
Choices:
A:4√{3}+2
B:4√{3}+3
C:8√{3}+1
D:8√{3}",images/mathverse_images/image_424.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, the circle O is the circumscribed circle of triangle ABC and the bisector of angle BAC and angle ABC intersects at point I, then the length of DI is ()
Choices:
A:4√{3}+2
B:4√{3}+3
C:8√{3}+1
D:8√{3}",mathverse_cot
429,86,Vision Dominant,"As shown in the figure, circle O is the circumscribed circle of triangle ABC. then the length of BC is ()
Choices:
A:√{3}
B:2√{3}
C:4
D:4√{3}",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Length', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, circle O is the circumscribed circle of triangle ABC. then the length of BC is ()
Choices:
A:√{3}
B:2√{3}
C:4
D:4√{3}","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, circle O is the circumscribed circle of triangle ABC. then the length of BC is ()
Choices:
A:√{3}
B:2√{3}
C:4
D:4√{3}","As shown in the figure, circle O is the circumscribed circle of triangle ABC. then the length of BC is ()
Choices:
A:√{3}
B:2√{3}
C:4
D:4√{3}",images/mathverse_images/image_429.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, circle O is the circumscribed circle of triangle ABC. then the length of BC is ()
Choices:
A:√{3}
B:2√{3}
C:4
D:4√{3}",mathverse_cot
434,87,Vision Dominant,"As shown in the figure, chord DE parallel  AB, then angle BOC is ()
Choices:
A:115°
B:100°
C:80°
D:50°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, chord DE parallel  AB, then angle BOC is ()
Choices:
A:115°
B:100°
C:80°
D:50°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, chord DE parallel  AB, then angle BOC is ()
Choices:
A:115°
B:100°
C:80°
D:50°","As shown in the figure, chord DE parallel  AB, then angle BOC is ()
Choices:
A:115°
B:100°
C:80°
D:50°",images/mathverse_images/image_434.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, chord DE parallel  AB, then angle BOC is ()
Choices:
A:115°
B:100°
C:80°
D:50°",mathverse_cot
439,88,Vision Dominant,"As shown in the figure, then angle BOC is equal to ()
Choices:
A:128°
B:108°
C:86°
D:64°",A,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then angle BOC is equal to ()
Choices:
A:128°
B:108°
C:86°
D:64°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle BOC is equal to ()
Choices:
A:128°
B:108°
C:86°
D:64°","As shown in the figure, then angle BOC is equal to ()
Choices:
A:128°
B:108°
C:86°
D:64°",images/mathverse_images/image_439.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then angle BOC is equal to ()
Choices:
A:128°
B:108°
C:86°
D:64°",mathverse_cot
444,89,Vision Dominant,"As shown in the figure, then the degree of angle BAO is ()
Choices:
A:50°
B:55°
C:60°
D:65°",D,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the degree of angle BAO is ()
Choices:
A:50°
B:55°
C:60°
D:65°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle BAO is ()
Choices:
A:50°
B:55°
C:60°
D:65°","As shown in the figure, then the degree of angle BAO is ()
Choices:
A:50°
B:55°
C:60°
D:65°",images/mathverse_images/image_444.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle BAO is ()
Choices:
A:50°
B:55°
C:60°
D:65°",mathverse_cot
449,90,Vision Dominant,"As shown in the figure, then the degree of the angle of circumference angle ACB is ()
Choices:
A:50°
B:25°
C:100°
D:30°",C,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the degree of the angle of circumference angle ACB is ()
Choices:
A:50°
B:25°
C:100°
D:30°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of the angle of circumference angle ACB is ()
Choices:
A:50°
B:25°
C:100°
D:30°","As shown in the figure, then the degree of the angle of circumference angle ACB is ()
Choices:
A:50°
B:25°
C:100°
D:30°",images/mathverse_images/image_449.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of the angle of circumference angle ACB is ()
Choices:
A:50°
B:25°
C:100°
D:30°",mathverse_cot
454,91,Vision Dominant,"As shown in the figure, arc AD = arc CD. Then angle DAC is equal to ()
Choices:
A:70°
B:45°
C:30°
D:25°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, arc AD = arc CD. Then angle DAC is equal to ()
Choices:
A:70°
B:45°
C:30°
D:25°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, arc AD = arc CD. Then angle DAC is equal to ()
Choices:
A:70°
B:45°
C:30°
D:25°","As shown in the figure, arc AD = arc CD. Then angle DAC is equal to ()
Choices:
A:70°
B:45°
C:30°
D:25°",images/mathverse_images/image_454.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, arc AD = arc CD. Then angle DAC is equal to ()
Choices:
A:70°
B:45°
C:30°
D:25°",mathverse_cot
459,92,Vision Dominant,"As shown in the figure, then the degree of angle BOC is ()
Choices:
A:102°
B:112°
C:122°
D:132°",B,multi-choice,"{'source': 'GeoQA', 'split': 'testmini', 'subfield': 'Angle', 'subject': 'Plane Geometry'}","Please directly answer the question and provide the correct option letter, e.g., A, B, C, D.
Question: As shown in the figure, then the degree of angle BOC is ()
Choices:
A:102°
B:112°
C:122°
D:132°","Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle BOC is ()
Choices:
A:102°
B:112°
C:122°
D:132°","As shown in the figure, then the degree of angle BOC is ()
Choices:
A:102°
B:112°
C:122°
D:132°",images/mathverse_images/image_459.png,"Please first conduct reasoning, and then answer the question and provide the correct option letter, e.g., A, B, C, D, at the end.
Question: As shown in the figure, then the degree of angle BOC is ()
Choices:
A:102°
B:112°
C:122°
D:132°",mathverse_cot
